Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.56, 54.56, 54.56, 54.56, 959334, 2563088
2018/1/23, 00:00:00, 54.78, 54.78, 54.78, 54.78, 1100502, 2587735
2018/1/24, 00:00:00, 54.24, 54.24, 54.24, 54.24, 1798089, 2655181
2018/1/25, 00:00:00, 54.42, 54.42, 54.42, 54.42, 1596241, 2632514
2018/1/26, 00:00:00, 54.31, 54.31, 54.31, 54.31, 1333316, 2648090
2018/1/29, 00:00:00, 53.94, 53.94, 53.94, 53.94, 1206995, 2644526
2018/1/30, 00:00:00, 53.32, 53.32, 53.32, 53.32, 1286493, 2643683
2018/1/31, 00:00:00, 53.13, 53.13, 53.13, 53.13, 1158182, 2648774
2018/2/1, 00:00:00, 53.12, 53.12, 53.12, 53.12, 1402838, 2680530
2018/2/2, 00:00:00, 52.16, 52.16, 52.16, 52.16, 1954071, 2637021
2018/2/5, 00:00:00, 51.82, 51.82, 51.82, 51.82, 1980123, 2587299
2018/2/6, 00:00:00, 51.57, 51.57, 51.57, 51.57, 1495610, 2589270
2018/2/7, 00:00:00, 50.94, 50.94, 50.94, 50.94, 2015703, 2550513
2018/2/8, 00:00:00, 50.97, 50.97, 50.97, 50.97, 1866093, 2543617
2018/2/9, 00:00:00, 50.43, 50.43, 50.43, 50.43, 1764311, 2524015
2018/2/12, 00:00:00, 50.66, 50.66, 50.66, 50.66, 1455165, 2518019
2018/2/13, 00:00:00, 51.35, 51.35, 51.35, 51.35, 1253615, 2530604
2018/2/14, 00:00:00, 51.32, 51.32, 51.32, 51.32, 1612908, 2520377
2018/2/15, 00:00:00, 51.28, 51.28, 51.28, 51.28, 1515184, 2477064
2018/2/16, 00:00:00, 51.57, 51.57, 51.57, 51.57, 1147661, 2421110
2018/2/20, 00:00:00, 52.17, 52.17, 52.17, 52.17, 1339441, 2430562
2018/2/21, 00:00:00, 52.21, 52.21, 52.21, 52.21, 813882, 2425517
2018/2/22, 00:00:00, 52.35, 52.35, 52.35, 52.35, 1096895, 2430049
2018/2/23, 00:00:00, 53.14, 53.14, 53.14, 53.14, 900749, 2434008
2018/2/26, 00:00:00, 53.75, 53.75, 53.75, 53.75, 810920, 2453610
